GUID	Text
105203	Resumen de mercancías
105204	Rutas del mercado mundial
105205	importar
120938	exportar
102494	Libera [CONDITION_COLLECTQUEST_OBJECT_NAME].
102532	Encuentra [CONDITION_COLLECTQUEST_OBJECT_NAME] en la región templada.
102492	Encuentra [CONDITION_COLLECTQUEST_OBJECT_NAME] en la región del Ártico.
102649	Selecciona un edificio residencial.
100767	NO LOCA We lost contact to the monitoring buoys used in our oceanographical experiments.
100768	NO LOCA Our research ship ran aground and we are trapped inside.
100769	NO LOCA Our communication satellites crashed in this area, but we cannot locate them.
100770	NO LOCA A sinking cruise liner radios SOS.
102694	Accede a la región [CONDITION_ACTIVE_REGION_REGION]
100693	Accede a "[CONDITION_ACTIVE_SESSION_SESSION]"
116549	Inicia el evento "[CONDITION_ACTIVE_SESSION_SESSION]"
102645	NO LOCA DummyText
100677	Recoge <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font> con tu vehículo.
108993	Recoge [CONDITION_SOURCE_OBJECT_ASSET] con tu vehículo  [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
100686	[CONDITION_COLLECTQUEST_OBJECT_AMOUNT_CURRENT] / [CONDITION_COLLECTQUEST_OBJECT_AMOUNT]
100688	Encuentra  [CONDITION_SOURCE_OBJECT_ASSET]
120399	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en cualquier isla
120611	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en cualquier cráter
120744	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en tierra firme.
120745	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en el mar.
120746	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en la costa.
108994	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
100689	Recupera todo esto: [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
116456	Recoge el objeto monitorizado: <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font> con tu vehículo.
119899	Activa <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
120074	Elimina <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
120747	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en los canales glaciales.
120748	Encuentra [CONDITION_SOURCE_OBJECT_ASSET] en el hielo flotante.
103250	Carga tu vehículo con [CONDITION_DELIVERY_AMOUNT] [CONDITION_DELIVERY_GOODS] de tu puerto espacial.
108995	Carga tu vehículo con [CONDITION_DELIVERY_AMOUNT] [CONDITION_DELIVERY_GOODS] de tu puerto espacial [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
103251	Lleva la mercancía a <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
108996	Lleva la mercancía a [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
108477	Recoge la mercancía en <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
